TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627853670647737,0.0,0.75,0.25,0.0,0.4056390622295664
39627829524039793,0.0,1.0,0.0,0.0,-0.0
39627829524039770,0.0,0.16,0.84,0.0,0.3171547773202831
39627865771216085,0.0,0.02,0.95,0.03,0.1674722434193448
39627853687425233,0.0,0.34,0.66,0.0,0.46240935248651505
39627841595245806,0.0,0.09,0.91,0.0,0.21823490853205144
39627865771214185,0.0,0.37,0.63,0.0,0.47533604634353294
39627835547062986,0.0,0.09,0.91,0.0,0.21823490853205144
39627829503069971,0.0,0.47,0.53,0.0,0.4987007942838698
39627829503069994,0.0,0.24,0.76,0.0,0.39752013969226113
39627829503070062,0.01,0.8,0.19,0.0,0.3896037431552768
39627835547063014,0.0,0.0,0.95,0.05,0.14319847855797813
39627835542866841,0.0,0.32,0.68,0.0,0.45219072886224687
39627859718836222,0.0,0.13,0.87,0.0,0.2787190925139945
39627811408841045,0.0,0.33,0.67,0.0,0.4574631863898637
39627835572224643,0.0,0.98,0.02,0.0,0.07072027127091034
39627829503070599,0.0,0.76,0.24,0.0,0.39752013969226113
39627859718837962,0.0,0.21,0.79,0.0,0.37074136996563684
39627823505211461,0.0,0.27,0.73,0.0,0.42073231810408784
39627859723027023,0.0,0.99,0.01,0.0,0.04039656794795559
39627859723027106,0.0,0.64,0.36,0.0,0.4713415946277461
39627859723027783,0.0,0.3,0.7,0.0,0.44064544961534635
39627811404649312,0.0,0.13,0.86,0.01,0.31810566868628926
39627853687424242,0.0,0.47,0.53,0.0,0.4987007942838698
39627835547062959,0.0,0.02,0.98,0.0,0.07072027127091034
39627835542866912,0.0,0.2,0.8,0.0,0.36096404744368116
39627835547062954,0.0,0.18,0.82,0.0,0.34003852286413994
39627817444442240,0.0,0.44,0.56,0.0,0.4947937606110278
39627823484241443,0.0,0.98,0.02,0.0,0.07072027127091034
39627865771214181,0.0,0.27,0.73,0.0,0.42073231810408784
39627859710445779,0.0,0.53,0.47,0.0,0.4987007942838698
39627859710445886,0.0,0.49,0.51,0.0,0.49985572087640495
39627859710446069,0.0,0.8,0.2,0.0,0.36096404744368116
39627841595245978,0.0,0.06,0.92,0.02,0.2335407200795017
39627859714638654,0.0,0.02,0.98,0.0,0.07072027127091034
39627829545009923,0.0,0.58,0.42,0.0,0.49072694751682683
39627835542867495,0.0,0.0,0.72,0.28,0.4277254052800653
39627829545012471,0.0,0.1,0.89,0.01,0.27413031336294724
39627865771214136,0.0,0.0,1.0,0.0,-0.0
39627853662260551,0.13,0.86,0.01,0.0,0.31810566868628926
39627835547062847,0.0,0.0,0.99,0.01,0.04039656794795559
39627865771213841,0.05,0.95,0.0,0.0,0.14319847855797813
39627865771213837,0.0,0.95,0.05,0.0,0.14319847855797813
39627829503067401,0.0,0.94,0.06,0.0,0.16372245957723813
39627841595246079,0.0,0.01,0.95,0.04,0.16124668093016215
39627853700008403,0.0,0.16,0.84,0.0,0.3171547773202831
39627823501021346,0.0,0.0,0.95,0.05,0.14319847855797813
39627859727225803,0.0,0.17,0.83,0.0,0.32885238937210975
39627811408842368,0.0,0.75,0.25,0.0,0.4056390622295664
39627865775408203,0.01,0.96,0.03,0.0,0.13737165703039006
39627865775407966,0.0,0.89,0.11,0.0,0.249957979082264
39627811408842754,0.0,0.77,0.23,0.0,0.38900565177326885
39627811408842682,0.0,0.81,0.19,0.0,0.3507357299419487
39627841582665475,0.0,0.88,0.12,0.0,0.2646804326436822
39627811404649050,0.0,0.01,0.98,0.01,0.08072027127091033
39627829507262835,0.0,0.41,0.59,0.0,0.488250234378912
39627853670649494,0.0,0.76,0.24,0.0,0.39752013969226113
39627853662258633,0.0,0.37,0.63,0.0,0.47533604634353294
39627853687426514,0.0,0.34,0.66,0.0,0.46240935248651505
39627853691618306,0.0,0.19,0.81,0.0,0.3507357299419487
39627865754438634,0.0,0.33,0.67,0.0,0.4574631863898637
39627865754438472,0.0,0.22,0.78,0.0,0.38008375148098283
39627811404644474,0.0,0.2,0.8,0.0,0.36096404744368116
39627853691617956,0.0,0.0,0.98,0.02,0.07072027127091034
39627811413034276,0.0,0.01,0.99,0.0,0.04039656794795559
39627817431861721,0.01,0.98,0.01,0.0,0.08072027127091033
39627853691618186,0.0,0.79,0.21,0.0,0.37074136996563684
39627853691618029,0.0,0.95,0.05,0.0,0.14319847855797813
39627835555451428,0.0,0.74,0.26,0.0,0.4133731862463089
39627871777459859,0.0,0.94,0.06,0.0,0.16372245957723813
39627859731418459,0.0,0.14,0.86,0.0,0.292119405821428
39627871794233997,0.0,0.68,0.32,0.0,0.45219072886224687
39627829519846627,0.0,0.0,1.0,0.0,-0.0
39627853670649853,0.0,0.32,0.68,0.0,0.45219072886224687
39627841620415582,0.0,0.5,0.5,0.0,0.5
39627847643432406,0.0,0.1,0.9,0.0,0.2344977967946406
39627817444442519,0.0,0.6,0.4,0.0,0.4854752972273343
39627853679035965,0.0,0.13,0.87,0.0,0.2787190925139945
39627871790042326,0.0,0.01,0.97,0.02,0.11097036642660543
39627811400450975,0.0,0.01,0.99,0.0,0.04039656794795559
39627865771214525,0.0,0.52,0.48,0.0,0.4994227679976009
39627871785847077,0.0,0.95,0.05,0.0,0.14319847855797813
39627829503068991,0.0,0.75,0.25,0.0,0.4056390622295664
39627847630850473,0.0,0.12,0.88,0.0,0.2646804326436822
39627811400451166,0.0,0.97,0.03,0.0,0.0971959289157881
39627871785846678,0.0,0.62,0.38,0.0,0.47902101111314976
39627823467463267,0.0,0.19,0.81,0.0,0.3507357299419487
39627871785846756,0.0,0.97,0.03,0.0,0.0971959289157881
39627871777459830,0.0,0.5,0.5,0.0,0.5
39627871785846803,0.0,0.62,0.38,0.0,0.47902101111314976
39627859739806431,0.0,0.87,0.13,0.0,0.2787190925139945
39627865754437973,0.0,0.34,0.66,0.0,0.46240935248651505
39627865754440935,0.0,0.13,0.87,0.0,0.2787190925139945
39627829515652331,0.0,0.36,0.64,0.0,0.4713415946277461
39627871790039584,0.0,0.08,0.92,0.0,0.2010895951011364
39627877817257772,0.0,0.01,0.98,0.01,0.08072027127091033
39627871790039645,0.0,0.44,0.56,0.0,0.4947937606110278
