TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627763597968887,-0.23076923076923078,sheet,0.03,0.97,0.0,0.0,0.0971959289157881
39627823974975690,0.3333333333333333,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627763589578902,-0.42857142857142855,sheet,0.0,0.9,0.1,0.0,0.2344977967946406
39627793775989410,-0.2,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39627793771792888,0.3333333333333333,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627811899572937,0.05263157894736842,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39627793771791952,0.1111111111111111,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627811916349778,0.42857142857142855,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627781688002959,-0.2857142857142857,sheet,0.0,0.81,0.19,0.0,0.3507357299419487
39627817939375145,0.3333333333333333,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39627793771792986,0.2727272727272727,filament,0.0,0.14,0.86,0.0,0.292119405821428
39627793780179662,0.0,filament,0.0,0.49,0.51,0.0,0.49985572087640495
39627763589583908,0.1,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39627775639818008,-0.2857142857142857,sheet,0.0,0.84,0.16,0.0,0.3171547773202831
39627805868165714,0.4,filament,0.0,0.0,0.97,0.03,0.0971959289157881
39627823974975758,0.2857142857142857,filament,0.0,0.42,0.58,0.0,0.49072694751682683
39627751501597076,0.8571428571428571,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627763597968946,0.0,sheet,0.0,0.8,0.2,0.0,0.36096404744368116
39627817935178658,-0.13043478260869565,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39627817939374578,0.0,filament,0.0,0.36,0.64,0.0,0.4713415946277461
39627781725749696,0.0,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627811899576640,0.38461538461538464,filament,0.0,0.32,0.68,0.0,0.45219072886224687
39627781721559241,-0.3333333333333333,sheet,0.0,0.76,0.24,0.0,0.39752013969226113
39627781721559060,-0.5,sheet,0.02,0.98,0.0,0.0,0.07072027127091034
39627817939370177,0.0,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39627817935178915,0.25,filament,0.0,0.25,0.73,0.02,0.4721601071743155
39627811899576618,0.23076923076923078,sheet,0.0,0.52,0.48,0.0,0.4994227679976009
39627751501597471,0.07692307692307693,filament,0.0,0.27,0.73,0.0,0.42073231810408784
39627811899576581,-0.16666666666666666,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39627757533005324,0.8181818181818182,filament,0.0,0.0,0.8,0.2,0.36096404744368116
39627799815784601,0.125,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627757533008106,-0.1111111111111111,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627811899576247,0.3,filament,0.0,0.35,0.65,0.0,0.4670340276877455
39627763589581195,0.14285714285714285,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39627817939372350,-0.3333333333333333,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39627811899576324,0.23076923076923078,filament,0.0,0.11,0.88,0.01,0.28950944366190023
39627781725750253,-0.1,filament,0.0,0.49,0.51,0.0,0.49985572087640495
39627817939370665,0.3333333333333333,filament,0.0,0.0,0.88,0.12,0.2646804326436822
39627811899576505,-0.5238095238095238,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627817939370560,0.07692307692307693,filament,0.0,0.48,0.52,0.0,0.4994227679976009
39627781721556905,0.2,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627763597971658,0.6363636363636364,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627817926787198,-1.0,void,0.5,0.5,0.0,0.0,0.5
39627793771792827,-0.2631578947368421,filament,0.0,0.45,0.55,0.0,0.49638722699390414
39627793792767061,0.16666666666666666,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627811882796786,-0.25,sheet,0.0,0.87,0.13,0.0,0.2787190925139945
39627793767600450,0.0,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39627769633571471,0.05263157894736842,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39627793763402268,-0.2631578947368421,sheet,0.0,1.0,0.0,0.0,-0.0
39627793763402394,0.23809523809523808,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627763597969151,0.2222222222222222,filament,0.0,0.18,0.82,0.0,0.34003852286413994
